mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_reduce_dim,param_reduce_dim__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17.73690128326416,0.06500622083978554,0.2582484881083171,0.026636350158418944,10,1,2,100,PCA(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 5}",0.8172696729378447,0.8217131001278917,0.828870073062512,0.8226176153760827,0.004778837490349385,240
25.74026854832967,0.24579934412709353,0.2504378954569499,0.029280107071852603,10,1,2,100,PCA(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 10}",0.8814296344039567,0.8824436116786987,0.888842763471918,0.8842386698515244,0.003281797884029912,51
25.358789523442585,0.09426712736522162,0.25016411145528156,0.03089452828357328,10,1,2,100,PCA(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8819321530417428,0.8824458339114853,0.8893556535016258,0.884577880151618,0.003384898388137004,30
0.36178167661031085,0.02140436555515364,0.0,0.0,10,1,2,100,LatentDirichletAllocation(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 5}",,,,,,244
0.42574270566304523,0.053858643599765985,0.0,0.0,10,1,2,100,LatentDirichletAllocation(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 10}",,,,,,244
0.5410067240397135,0.16546942592861508,0.0,0.0,10,1,2,100,LatentDirichletAllocation(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 'mle'}",,,,,,244
32.68651684125265,1.097906889392249,0.45353221893310547,0.018749443927340306,10,1,2,200,PCA(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 5}",0.817693435398071,0.8223927458844249,0.8295826403998506,0.8232229405607822,0.004889118277295283,223
44.86460494995117,1.1330696387389942,0.49701650937398273,0.055793904650965356,10,1,2,200,PCA(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 10}",0.8815792946635611,0.8827474029712503,0.8888550559722228,0.8843939178690113,0.003190343151508582,44
46.0211652914683,1.5198504181668175,0.4924984773000081,0.05852858889735154,10,1,2,200,PCA(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8823281437822001,0.8827275359625355,0.8892908563653896,0.8847821787033752,0.003192283323201946,18
0.32256189982096356,0.04590996503051968,0.0,0.0,10,1,2,200,LatentDirichletAllocation(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 5}",,,,,,244
0.2916552225748698,0.008573152715591205,0.0,0.0,10,1,2,200,LatentDirichletAllocation(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 10}",,,,,,244
0.3287688096364339,0.049955629795739025,0.0,0.0,10,1,2,200,LatentDirichletAllocation(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 'mle'}",,,,,,244
